SCHLAGWORT;UEBERSETZUNG
#B1312#Gewerbe / Industrie#Elektroanlage / Trafo;Brand Gewerbe / Industrie - Elektroanlage / Trafo
#B1313#Gewerbe / Industrie#Sägewerk / Schreinerei;Brand Gewerbe / Industrie - Sägewerk / Schreinerei
#B1314#Gewerbe / Industrie#Industriegebäude;Brand Gewerbe / Industrie - Industriegebäude
#B1315#Gewerbe / Industrie#Lagerhalle;Brand Gewerbe / Industrie - Lagerhalle
#B1316#Gewerbe / Industrie#Silo (kein Gefahrstoff);Brand Gewerbe / Industrie - Silo (kein Gefahrstoff)
#B1320#Gewerbe / Industrie#große Höhe - Turm;Brand Gewerbe / Industrie - große Höhe - Turm
#B1321#Gewerbe / Industrie#große Höhe - Windrad;Brand Gewerbe / Industrie - große Höhe - Windrad
#B1410#Landwirtschaft#Bauernhof;Brand Landwirtschaft - Bauernhof
#B1412#Landwirtschaft#Stall / Scheune;Brand Landwirtschaft - Stall / Scheune
#B1413#Landwirtschaft#Aussiedlerhof;Brand Landwirtschaft - Aussiedlerhof
#B1414#Landwirtschaft#Fahrzeug / Maschine;Brand Landwirtschaft - Fahrzeug / Maschine
#B1510#Verkehr#PKW;Brand Verkehr - PKW
#B1511#Verkehr#PKW auf BAB;Brand Verkehr - PKW auf BAB
#B1512#Verkehr#PKW (Person in Gefahr);Brand Verkehr - PKW (Person in Gefahr)
#B1513#Verkehr#PKW auf BAB (Person in Gefahr);Brand Verkehr - PKW auf BAB (Person in Gefahr)
#B1514#Verkehr#Motorrad;Brand Verkehr - Motorrad
#B1515#Verkehr#LKW / Bus innerorts;Brand Verkehr - LKW / Bus innerorts
#B1516#Verkehr#LKW / Bus auf BAB;Brand Verkehr - LKW / Bus auf BAB
#B1517#Verkehr#LKW (Person in Gefahr);Brand Verkehr - LKW (Person in Gefahr)
#B1518#Verkehr#LKW auf BAB (Person in Gefahr);Brand Verkehr - LKW auf BAB (Person in Gefahr)
#B1519#Verkehr#LKW / Bus außerorts;Brand Verkehr - LKW / Bus außerorts
#B1520#Verkehr#Boot / Yacht / Floß;Brand Verkehr - Boot / Yacht / Floß
#B1521#Verkehr#Passagierschiff;Brand Verkehr - Passagierschiff
#B1522#Verkehr#Frachtschiff;Brand Verkehr - Frachtschiff
#B1523#Alarmstufenerhöhung#auf B2;Brand Alarmstufenerhöhung - auf B2
#B1524#Alarmstufenerhöhung#auf B 3 Person;Brand Alarmstufenerhöhung - auf B 3 Person
#B1525#Alarmstufenerhöhung#auf B4;Brand Alarmstufenerhöhung - auf B4
#B1526#Alarmstufenerhöhung#auf B6;Brand Alarmstufenerhöhung - auf B6
#B1527#Alarmstufenerhöhung#auf B3;Brand Alarmstufenerhöhung - auf B3
#B1528#im Gebäude#überhitzter Heustock;Brand im Gebäude - überhitzter Heustock
#B1529#Verkehr#S-Bahn im Tunnel;Brand Verkehr - S-Bahn im Tunnel
#B1530#Verkehr#Personenzug;Brand Verkehr - Personenzug
#B1531#Verkehr#Güterzug;Brand Verkehr - Güterzug
#B1532#Verkehr#Zug nur Lokomotive;Brand Verkehr - Zug nur Lokomotive
#B1533#Verkehr#Tunnel;Brand Verkehr - Tunnel
#B1534#Alarmstufenerhöhung#auf B7;Brand Alarmstufenerhöhung - auf B7
#B1535#Verkehr#Zug im Tunnel;Brand Verkehr - Zug im Tunnel
#B1536#Alarmstufenerhöhung#auf B8;Brand Alarmstufenerhöhung - auf B8
#B1537#Verkehr#Straßenbahn;Brand Verkehr - Straßenbahn
#B1538#Verkehr#U-Bahn im Freien;Brand Verkehr - U-Bahn im Freien
#B1539#Verkehr#S-Bahn im Freien;Brand Verkehr - S-Bahn im Freien
#B1540#Verkehr#U-Bahn im Tunnel;Brand Verkehr - U-Bahn im Tunnel
#B1599#Alarmstufenerhöhung#auf B 2 Person;Brand Alarmstufenerhöhung - auf B 2 Person
#B1710#Meldeanlage#Brandmeldeanlage;Brand Meldeanlage - Brandmeldeanlage
